open_time	open	high	low	close	volume	close_time	quote_asset_volume	num_trades	taker_buy_base_vol	taker_buy_quote_vol	open_dt	close_dt
1740078900000	98299.99	98300	98241.24	98300	0.03668	1740079799999	3605.491198	19	0.03148	3094.484	2025-02-20 19:15:00+00:00	2025-02-20 19:29:59.999000+00:00
1740079800000	98299.99	98299.99	98291.51	98291.51	0.01499	1740080699999	1473.5082853	3	0	0	2025-02-20 19:30:00+00:00	2025-02-20 19:44:59.999000+00:00
1740080700000	98299.99	98299.99	98206.08	98299.99	0.01798	1740081599999	1767.4306172	8	0.01662	1633.7458338	2025-02-20 19:45:00+00:00	2025-02-20 19:59:59.999000+00:00
1740081600000	98299.99	98299.99	98287.8	98299.99	0.02023	1740082499999	1988.590147	9	0.0187	1838.209813	2025-02-20 20:00:00+00:00	2025-02-20 20:14:59.999000+00:00
1740082500000	98299.98	98300	98299.98	98300	0.8699	1740083399999	85511.1685713	72	0.86975	85496.4235743	2025-02-20 20:15:00+00:00	2025-02-20 20:29:59.999000+00:00
1740083400000	98300	98300	98300	98300	0.05758	1740084299999	5660.114	17	0.05758	5660.114	2025-02-20 20:30:00+00:00	2025-02-20 20:44:59.999000+00:00
1740084300000	98299.98	98300	98296.6	98296.6	0.01283	1740085199999	1261.183591	7	0.01109	1090.147	2025-02-20 20:45:00+00:00	2025-02-20 20:59:59.999000+00:00
1740085200000	98299.99	98299.99	98217.64	98217.64	0.00092	1740086099999	90.3900905	3	0	0	2025-02-20 21:00:00+00:00	2025-02-20 21:14:59.999000+00:00
1740086100000	98223.54	98237.23	98223.54	98237.23	0.00117	1740086999999	114.9355056	2	0	0	2025-02-20 21:15:00+00:00	2025-02-20 21:29:59.999000+00:00
1740087000000	98148.38	98148.38	98148.38	98148.38	0.00163	1740087899999	159.9818594	1	0	0	2025-02-20 21:30:00+00:00	2025-02-20 21:44:59.999000+00:00
1740087900000	98067.52	98067.52	98067.52	98067.52	0.00015	1740088799999	14.710128	1	0	0	2025-02-20 21:45:00+00:00	2025-02-20 21:59:59.999000+00:00
1740088800000	98050.03	98189.96	98050.03	98189.96	0.00986	1740089699999	967.1897372	7	0	0	2025-02-20 22:00:00+00:00	2025-02-20 22:14:59.999000+00:00
1740089700000	98099.31	98099.31	97968.08	97968.08	0.00178	1740090599999	174.6049611	2	0	0	2025-02-20 22:15:00+00:00	2025-02-20 22:29:59.999000+00:00
1740090600000	98294.05	98300	96498.51	98083.48	0.0865	1740091499999	8497.2402983	40	0.05697	5600.1498812	2025-02-20 22:30:00+00:00	2025-02-20 22:44:59.999000+00:00
1740091500000	98083.48	98083.48	98083.48	98083.48	0	1740092399999	0	0	0	0	2025-02-20 22:45:00+00:00	2025-02-20 22:59:59.999000+00:00
